Age,Gender,OwnHome,Married,Location,Salary,Children,History,Catalogs,AmountSpent
Middle,Female,Rent,Single,Close,18900,1,Low,6,184
Old,Female,Own,Single,Close,17300,0,Low,6,166
Middle,Female,Rent,Married,Close,81400,2,NA,6,1014
Old,Male,Rent,Married,Close,36500,0,Medium,24,1140
Middle,Female,Own,Single,Close,43300,1,NA,18,1021
Old,Male,Own,Married,Close,76700,1,Medium,24,1431
Young,Male,Own,Married,Far,123000,1,High,24,5878
Young,Male,Own,Single,Close,56300,3,Low,6,321
Middle,Male,Own,Married,Close,70000,0,High,24,1974
Middle,Male,Own,Single,Close,48100,0,Medium,18,1640
Old,Female,Rent,Married,Close,79400,0,NA,6,1175
Middle,Female,Own,Married,Close,63700,3,Low,12,364
Middle,Male,Rent,Single,Close,21200,0,NA,12,417
Middle,Male,Rent,Single,Close,53900,0,Medium,12,1060
Old,Female,Own,Married,Close,118800,0,High,18,2176
Old,Female,Own,Married,Close,79400,3,Low,6,200
Old,Female,Rent,Single,Far,20400,0,NA,24,513
Middle,Male,Rent,Single,Close,52400,0,NA,18,857
Old,Female,Own,Single,Close,17600,0,Low,6,224
Middle,Male,Rent,Single,Close,23500,0,Low,12,371
Old,Male,Rent,Married,Close,56900,2,Low,12,687
Young,Male,Own,Married,Close,95100,2,Medium,12,809
Young,Male,Own,Married,Close,119800,2,Medium,24,2090
Old,Male,Own,Single,Close,58700,0,NA,24,1479
Young,Female,Own,Married,Close,76700,2,Medium,6,534
Young,Male,Own,Married,Close,67600,1,Medium,18,1172
Middle,Male,Own,Single,Close,61500,2,Medium,24,968
Middle,Female,Own,Married,Close,72900,0,High,6,753
Young,Female,Rent,Single,Close,21200,0,Low,6,242
Old,Male,Rent,Single,Close,32400,1,Low,12,515
Young,Female,Own,Married,Close,62200,3,NA,24,2119
Middle,Female,Own,Single,Close,24400,0,Low,6,491
Middle,Male,Own,Married,Close,66500,3,Low,12,286
Old,Female,Rent,Married,Far,72200,0,High,24,3069
Young,Female,Rent,Single,Close,16900,2,NA,6,281
Middle,Male,Rent,Married,Close,56300,0,NA,24,1608
Young,Female,Own,Single,Far,22000,0,Medium,12,736
Young,Female,Rent,Single,Close,18800,2,Low,18,170
Middle,Female,Rent,Single,Close,26600,2,Low,24,245
Young,Female,Rent,Married,Close,72100,0,High,24,3052
Young,Male,Own,Single,Far,55600,0,High,18,1786
Middle,Female,Rent,Single,Close,14600,3,Low,6,47
Middle,Male,Own,Married,Close,45900,0,Medium,24,1645
Middle,Female,Own,Single,Close,15100,0,Low,6,274
Young,Male,Own,Married,Close,140700,3,Medium,12,1001
Young,Male,Own,Married,Close,90300,0,High,24,1944
Old,Male,Own,Married,Close,95900,0,High,24,2585
Old,Male,Rent,Single,Far,20800,0,NA,6,260
Middle,Male,Own,Married,Close,98400,0,High,12,1414
Young,Female,Rent,Single,Close,15000,2,NA,12,341
Old,Male,Rent,Single,Close,17700,1,Low,12,268
Middle,Male,Own,Married,Close,102400,1,High,18,1237
Middle,Male,Rent,Single,Far,17800,1,NA,18,589
Young,Male,Rent,Single,Far,13800,1,Low,12,368
Middle,Female,Rent,Single,Close,50500,1,Medium,12,940
Old,Female,Rent,Single,Close,42000,3,Low,18,232
Old,Male,Own,Married,Close,95800,3,Low,12,678
Middle,Male,Rent,Single,Close,15200,0,NA,12,324
Young,Male,Rent,Single,Close,15800,2,Low,12,147
Young,Male,Own,Single,Close,51400,0,NA,6,694
Old,Female,Rent,Married,Close,38200,0,Medium,6,526
Middle,Female,Rent,Single,Close,39900,1,Low,12,586
Middle,Female,Own,Single,Close,21600,2,NA,12,491
Old,Female,Own,Married,Close,65900,0,High,24,1436
Young,Female,Own,Married,Close,97500,1,High,12,1280
Middle,Male,Rent,Married,Far,63000,0,High,18,2107
Middle,Female,Own,Single,Far,31900,0,NA,12,860
Old,Female,Rent,Single,Far,45500,1,NA,18,1624
Middle,Female,Own,Single,Close,12800,0,NA,12,230
Young,Female,Own,Married,Far,12600,2,Low,12,164
Middle,Male,Rent,Single,Close,50700,3,Low,6,157
Middle,Female,Rent,Single,Close,17900,3,Low,6,62
Middle,Female,Rent,Single,Close,14400,1,Low,18,223
Middle,Female,Own,Single,Close,23800,0,Low,6,438
Old,Male,Own,Married,Close,84700,3,NA,24,2705
Young,Female,Rent,Single,Close,36900,1,Low,6,371
Old,Female,Own,Single,Close,20600,0,Low,6,201
Old,Male,Rent,Married,Close,41500,0,NA,24,1213
Middle,Male,Own,Married,Close,83100,2,Medium,6,586
Middle,Male,Own,Married,Far,88700,2,High,24,2693
Middle,Female,Own,Married,Close,54700,0,Medium,24,1404
Young,Male,Own,Single,Close,68900,2,NA,18,2784
Middle,Female,Rent,Single,Close,22200,2,Low,18,275
Old,Female,Own,Married,Close,70900,1,Medium,12,794
Young,Male,Own,Single,Close,55900,0,Medium,12,964
Young,Female,Own,Married,Close,80800,1,NA,18,1598
Middle,Male,Own,Married,Far,100600,3,High,24,2838
Young,Female,Own,Single,Close,39900,0,NA,6,619
Young,Female,Rent,Married,Close,71200,3,Low,12,392
Middle,Female,Own,Married,Close,61000,0,NA,18,1850
Old,Male,Own,Single,Close,38700,0,NA,24,1506
Young,Male,Own,Married,Far,98900,0,NA,18,3126
Middle,Male,Own,Single,Close,64300,0,NA,6,1325
Young,Female,Own,Married,Close,75600,0,NA,12,1541
Old,Female,Rent,Married,Far,53700,0,High,24,2491
Old,Male,Own,Single,Close,66600,0,High,18,1177
Old,Female,Own,Married,Close,89000,0,High,12,1487
Middle,Female,Rent,Single,Far,18200,2,Low,12,322
Young,Female,Rent,Married,Close,73600,1,Medium,6,647
Young,Female,Rent,Single,Far,45600,0,High,12,1322
Middle,Male,Own,Married,Close,73000,0,NA,6,1534
Middle,Male,Own,Single,Close,29600,3,NA,12,583
Young,Male,Rent,Married,Close,92900,1,NA,6,1705
Young,Female,Rent,Single,Far,13900,0,Low,6,191
Middle,Male,Rent,Married,Close,64300,3,Low,6,239
Middle,Male,Own,Married,Close,77100,2,Medium,6,568
Middle,Female,Own,Single,Close,27500,3,NA,12,571
Middle,Male,Rent,Married,Close,81800,0,High,6,919
Young,Female,Rent,Married,Close,41700,0,Medium,18,1398
Middle,Female,Own,Married,Close,51000,0,Medium,12,1025
Old,Male,Rent,Single,Close,55900,1,Medium,12,909
Young,Male,Rent,Single,Close,19800,2,Low,12,209
Middle,Male,Rent,Single,Close,17600,0,NA,6,245
Young,Male,Rent,Married,Far,84100,1,High,24,2362
Middle,Male,Own,Married,Close,85600,0,High,24,3380
Middle,Male,Rent,Single,Close,13400,0,Low,18,424
Young,Female,Rent,Married,Far,47200,1,Medium,12,1272
Middle,Male,Own,Married,Close,96300,1,High,24,1909
Old,Male,Own,Married,Close,60500,3,Low,12,340
Old,Female,Own,Single,Close,35800,1,NA,24,1355
Young,Male,Rent,Married,Close,106100,3,Low,12,472
Young,Male,Rent,Single,Close,18000,0,Low,12,303
Middle,Male,Rent,Single,Far,50000,1,NA,6,1079
Young,Female,Own,Single,Close,58200,0,Medium,18,981
Middle,Female,Rent,Single,Far,13500,2,Low,12,160
Middle,Female,Own,Married,Close,59900,1,NA,6,613
Old,Female,Rent,Single,Far,18400,1,Low,12,662
Young,Male,Rent,Married,Close,62800,3,Low,6,177
Middle,Male,Rent,Single,Close,70000,0,High,6,785
Young,Female,Rent,Single,Far,13600,1,NA,18,349
Young,Female,Rent,Married,Close,97400,3,Low,6,213
Young,Female,Own,Married,Far,37500,0,Medium,18,1578
Middle,Female,Own,Single,Close,22800,0,Low,6,258
Middle,Female,Rent,Single,Close,14200,0,NA,6,192
Middle,Male,Rent,Single,Close,18700,0,Low,12,289
Young,Male,Own,Married,Close,107400,1,High,24,1821
Middle,Female,Rent,Single,Far,28900,0,Medium,24,905
Middle,Male,Rent,Married,Close,38400,2,Low,6,188
Young,Male,Rent,Single,Close,54200,0,NA,18,1405
Middle,Male,Own,Married,Close,102700,0,NA,18,2381
Middle,Female,Rent,Single,Close,13300,1,Low,6,184
Young,Male,Own,Single,Close,60200,3,NA,12,1364
Young,Male,Rent,Single,Close,21400,0,NA,12,414
Old,Female,Rent,Single,Close,21700,2,NA,6,387
Old,Male,Rent,Single,Close,23200,1,Low,24,504
Middle,Male,Own,Married,Close,64800,2,Medium,12,574
Middle,Male,Rent,Single,Close,55600,0,Medium,6,984
Middle,Male,Own,Married,Far,89500,0,High,24,5209
Young,Female,Rent,Single,Far,12500,1,NA,12,422
Young,Male,Own,Married,Close,87000,0,High,24,1594
Young,Female,Rent,Single,Far,31200,3,NA,24,1087
Middle,Female,Rent,Single,Close,13700,1,NA,6,163
Young,Male,Own,Single,Close,55500,3,Low,18,427
Young,Female,Rent,Single,Close,58600,1,Medium,6,624
Middle,Female,Own,Married,Far,55900,1,NA,6,788
Old,Female,Rent,Single,Far,13700,2,NA,24,414
Young,Female,Own,Married,Far,81400,0,High,24,3001
Young,Female,Own,Married,Close,90500,0,High,6,863
Middle,Female,Own,Married,Close,82200,1,NA,12,1517
Young,Male,Own,Married,Far,65400,3,NA,6,836
Middle,Male,Own,Single,Close,74400,0,High,12,1152
Young,Male,Rent,Married,Far,63300,3,NA,6,1408
Old,Male,Rent,Married,Far,51600,0,NA,12,1082
Middle,Male,Rent,Married,Far,55000,0,NA,12,1162
Middle,Female,Own,Single,Close,43900,2,Low,6,358
Middle,Female,Own,Single,Close,20300,1,Low,12,304
Middle,Female,Own,Single,Far,16300,0,NA,12,360
Middle,Male,Own,Married,Close,97600,2,Medium,12,1162
Middle,Female,Rent,Single,Far,15100,0,Low,6,348
Young,Female,Rent,Single,Close,12500,3,NA,12,206
Middle,Female,Rent,Single,Close,10600,2,Low,12,114
Middle,Female,Own,Single,Close,41300,1,NA,18,932
Young,Female,Own,Single,Close,27200,2,Low,18,446
Middle,Male,Own,Married,Close,102400,1,NA,12,2466
Middle,Female,Own,Single,Far,27900,1,NA,12,576
Young,Male,Rent,Married,Far,23800,0,NA,12,428
Middle,Male,Own,Married,Close,100000,1,High,24,2247
Young,Female,Rent,Married,Far,43300,3,Medium,24,716
Middle,Male,Own,Married,Close,65800,1,NA,12,1017
Old,Female,Own,Married,Close,49700,2,Low,18,613
Middle,Female,Rent,Married,Close,82300,2,Medium,12,580
Middle,Male,Rent,Single,Close,41200,0,Medium,12,841
Old,Male,Rent,Single,Close,29200,0,Low,18,737
Old,Female,Own,Single,Close,51900,2,NA,12,1162
Old,Female,Own,Married,Close,85500,2,Medium,18,895
Young,Female,Rent,Single,Far,12400,3,Low,18,205
Old,Female,Own,Married,Close,111900,1,NA,12,2340
Middle,Female,Rent,Single,Close,40400,1,Low,24,630
Young,Male,Rent,Single,Far,10900,0,Low,24,407
Old,Male,Own,Married,Close,82400,3,NA,18,2122
Young,Female,Rent,Single,Close,13200,1,Low,12,227
Old,Male,Rent,Single,Close,57800,0,Medium,24,1149
Old,Female,Own,Married,Close,52200,1,Medium,12,669
Middle,Male,Rent,Married,Far,64600,2,NA,24,2935
Middle,Female,Own,Single,Close,43100,0,NA,24,1444
Middle,Female,Own,Married,Far,40100,0,Medium,12,1384
Young,Male,Own,Married,Close,84500,0,NA,12,1557
Middle,Male,Rent,Married,Close,34500,0,Medium,12,802
Young,Female,Rent,Married,Close,61000,1,NA,18,1611
Middle,Female,Own,Married,Far,79300,0,NA,12,2047
Middle,Male,Rent,Single,Close,44500,0,Medium,24,1175
Middle,Male,Rent,Married,Close,39700,0,Medium,18,1011
Middle,Female,Own,Single,Close,30300,0,Low,18,1062
Middle,Female,Rent,Single,Close,20100,1,Low,12,271
Young,Male,Own,Married,Far,86500,0,High,24,2690
Young,Female,Rent,Single,Close,42500,0,Medium,24,918
Young,Male,Own,Married,Close,102300,0,High,24,2438
Young,Female,Own,Single,Far,52600,2,Medium,12,1307
Young,Female,Rent,Single,Far,37800,2,NA,12,1185
Old,Female,Rent,Single,Close,20300,2,Low,12,180
Old,Male,Own,Married,Close,71600,1,NA,12,1198
Young,Male,Rent,Married,Close,54500,1,Medium,18,1001
Middle,Male,Rent,Single,Close,54700,0,Medium,24,1355
Middle,Male,Rent,Single,Far,58600,2,NA,6,989
Middle,Male,Rent,Single,Far,53800,0,High,12,1803
Middle,Female,Own,Married,Close,131500,3,NA,6,2840
Young,Male,Rent,Single,Far,52200,0,High,24,1909
Middle,Male,Rent,Married,Close,37200,1,Low,6,247
Old,Male,Rent,Single,Far,22900,1,NA,12,814
Middle,Male,Rent,Married,Close,55500,3,Low,12,216
Middle,Female,Rent,Single,Far,12800,1,NA,24,365
Young,Female,Rent,Single,Close,17600,2,Low,18,163
Young,Female,Own,Single,Far,28300,0,Medium,24,933
Middle,Male,Own,Single,Close,41900,0,Medium,6,654
Middle,Female,Rent,Single,Close,14100,3,NA,6,153
Middle,Male,Rent,Single,Close,52100,0,NA,12,1668
Old,Male,Rent,Single,Far,38700,1,Medium,18,1009
Middle,Female,Rent,Single,Far,44100,1,Medium,18,1659
Old,Male,Own,Married,Far,79200,1,High,6,1905
Old,Female,Rent,Single,Close,22600,3,NA,6,521
Young,Male,Rent,Single,Close,55100,2,NA,6,826
Middle,Female,Own,Married,Far,70400,0,High,18,2610
Young,Male,Own,Married,Close,107300,2,Medium,24,1194
Middle,Female,Rent,Married,Close,66500,1,NA,24,1181
Young,Male,Rent,Single,Close,10200,0,NA,24,362
Middle,Female,Own,Single,Far,41000,1,Medium,12,768
Middle,Female,Rent,Single,Close,26200,1,Low,12,381
Young,Male,Rent,Married,Far,72200,3,Medium,18,1811
Middle,Male,Rent,Single,Far,36700,1,Medium,24,1218
Middle,Male,Own,Married,Far,74500,0,NA,18,1413
Middle,Female,Own,Single,Close,60200,1,NA,12,1748
Young,Male,Rent,Single,Close,34500,0,Medium,24,639
Middle,Female,Own,Married,Close,83700,0,High,18,1582
Middle,Male,Rent,Single,Far,14800,1,NA,12,376
Young,Male,Own,Married,Close,106400,0,NA,12,1757
Middle,Female,Rent,Married,Close,42000,3,Low,6,105
Middle,Male,Rent,Married,Close,118800,0,High,12,2631
Middle,Female,Own,Single,Far,21900,2,Low,24,486
Old,Male,Rent,Single,Close,39500,1,NA,6,412
Old,Male,Rent,Single,Close,45900,0,Medium,12,716
Old,Female,Rent,Married,Close,37100,2,Low,24,653
Middle,Female,Rent,Single,Close,28200,1,Low,6,224
Young,Male,Rent,Married,Close,74600,2,Medium,18,705
Young,Male,Own,Married,Close,122700,1,NA,18,4984
Old,Female,Rent,Single,Close,14200,2,Low,18,197
Old,Male,Own,Married,Far,75500,0,NA,18,2450
Young,Male,Own,Single,Close,62900,0,NA,24,2561
Middle,Male,Rent,Single,Far,19400,0,Low,6,563
Old,Female,Rent,Single,Close,46600,0,NA,12,546
Old,Male,Own,Married,Far,79700,1,High,24,3384
Middle,Male,Own,Single,Close,45900,2,Low,12,416
Middle,Female,Own,Married,Close,42800,0,Medium,6,685
Old,Male,Own,Married,Far,65500,0,High,24,1931
Middle,Female,Rent,Single,Close,33600,0,Medium,12,573
Middle,Female,Own,Single,Far,55600,1,High,18,1553
Young,Female,Rent,Single,Close,24000,2,NA,6,362
Middle,Male,Rent,Single,Far,25700,0,Medium,18,907
Young,Female,Own,Married,Close,21500,0,Low,18,445
Old,Female,Rent,Married,Close,68600,0,High,18,1342
Young,Female,Rent,Single,Far,23100,2,Low,12,457
Young,Female,Rent,Married,Close,53300,0,Medium,24,1598
Middle,Female,Own,Married,Close,112800,0,High,12,1861
Old,Male,Own,Married,Close,124900,0,High,18,4109
Old,Female,Own,Single,Close,72200,0,NA,18,3278
Old,Male,Rent,Single,Close,35100,1,Low,6,421
Young,Female,Rent,Single,Close,14900,0,NA,12,275
Young,Male,Rent,Single,Close,72000,0,High,12,1475
Middle,Male,Own,Married,Close,82400,0,High,18,1779
Old,Male,Rent,Married,Close,41600,3,NA,24,1634
Middle,Female,Own,Married,Close,68500,2,NA,12,1500
Young,Male,Own,Married,Close,62200,0,High,24,1348
Middle,Female,Own,Single,Close,35900,0,NA,12,962
Middle,Male,Rent,Single,Close,14100,0,Low,12,328
Middle,Female,Rent,Married,Close,36500,1,NA,18,747
Old,Female,Own,Married,Close,86400,1,High,12,1713
Middle,Female,Rent,Married,Close,39500,0,Medium,12,1006
Old,Male,Own,Married,Close,85300,0,NA,12,2523
Young,Female,Own,Married,Close,110700,0,High,12,2458
Middle,Male,Rent,Single,Far,17700,0,Low,18,742
Old,Female,Rent,Married,Far,33200,1,NA,24,1639
Middle,Female,Own,Single,Close,53800,0,Medium,12,843
Old,Male,Rent,Single,Close,44400,0,Medium,18,886
Old,Female,Rent,Married,Close,135700,1,High,24,2746
Middle,Female,Rent,Single,Far,20700,1,Low,12,550
Middle,Male,Rent,Married,Far,83500,2,High,24,2098
Middle,Female,Rent,Married,Close,84200,2,Medium,24,954
Middle,Female,Rent,Married,Close,79900,1,Medium,12,1041
Middle,Female,Rent,Single,Far,19700,0,Low,6,535
Middle,Female,Rent,Single,Close,35300,0,NA,18,1369
Old,Male,Own,Married,Far,52000,0,High,18,2545
Young,Male,Rent,Single,Close,21300,1,NA,12,329
Middle,Male,Own,Single,Close,63700,0,NA,6,1351
Middle,Female,Own,Married,Close,25900,0,Low,18,582
Middle,Male,Rent,Married,Close,65800,2,Medium,18,578
Young,Female,Rent,Single,Close,11000,0,NA,24,195
Young,Female,Rent,Married,Close,65900,0,High,12,777
Middle,Female,Own,Married,Close,108100,1,High,12,1133
Old,Male,Own,Married,Close,107300,2,Medium,18,1566
Old,Female,Rent,Married,Close,79500,0,High,12,1651
Middle,Female,Rent,Married,Close,95900,0,NA,24,3168
Middle,Male,Rent,Single,Close,45200,1,Medium,18,699
Old,Male,Own,Married,Close,98500,0,High,18,2034
Young,Female,Own,Married,Close,96200,0,High,12,1457
Old,Male,Rent,Single,Close,17900,0,NA,18,395
Middle,Male,Own,Married,Close,42700,0,Medium,6,541
Middle,Male,Own,Single,Far,49700,0,High,24,2844
Old,Female,Rent,Single,Close,43000,3,Low,24,225
Middle,Female,Rent,Single,Close,15500,1,Low,6,210
Young,Male,Rent,Single,Close,13000,3,Low,6,43
Middle,Female,Rent,Single,Close,27200,3,Low,24,243
Old,Female,Own,Married,Close,26700,0,Low,24,1120
Young,Male,Own,Single,Far,61000,0,High,6,975
Middle,Female,Own,Married,Close,76600,3,NA,24,2904
Middle,Male,Own,Married,Close,117500,2,Medium,12,927
Middle,Male,Own,Married,Close,90600,0,High,24,3167
Young,Female,Rent,Single,Far,12600,0,Low,6,241
Middle,Female,Own,Single,Close,12700,2,Low,6,65
Middle,Female,Own,Married,Far,77600,3,Medium,12,858
Old,Female,Rent,Married,Far,92400,1,NA,6,2191
Young,Female,Rent,Married,Close,71800,0,High,24,1946
Middle,Male,Own,Married,Far,95800,3,NA,12,2581
Middle,Female,Own,Single,Close,32600,3,Low,12,172
Young,Male,Own,Married,Close,74500,2,Medium,12,824
Young,Female,Rent,Single,Close,29200,0,Low,12,556
Middle,Female,Rent,Single,Far,12900,1,Low,6,167
Middle,Male,Rent,Married,Close,117700,1,High,12,2104
Middle,Female,Own,Married,Close,64100,1,Medium,18,1332
Middle,Female,Rent,Single,Close,46500,1,Medium,24,829
Middle,Female,Rent,Single,Close,12400,1,NA,12,229
Middle,Male,Own,Married,Far,130600,0,High,18,3442
Old,Male,Own,Married,Far,74400,0,High,6,1893
Old,Female,Own,Single,Far,40600,2,Medium,6,690
Old,Female,Rent,Married,Close,54200,1,Medium,6,486
Middle,Male,Own,Single,Far,65400,1,High,12,2290
Middle,Male,Rent,Single,Close,49100,0,NA,6,934
Middle,Female,Rent,Single,Close,10600,2,NA,24,517
Young,Female,Rent,Married,Close,76400,0,NA,12,2216
Young,Female,Rent,Married,Close,93700,1,High,24,1521
Middle,Male,Rent,Single,Far,49000,0,High,18,1523
Middle,Female,Own,Married,Close,96500,1,High,18,1364
Middle,Male,Own,Single,Close,55600,0,NA,12,952
Middle,Male,Own,Married,Close,99600,1,High,6,871
Old,Female,Own,Married,Close,79900,3,Low,12,295
Middle,Female,Rent,Married,Close,50500,0,Medium,12,642
Middle,Female,Own,Single,Far,16300,0,Low,6,317
Young,Female,Own,Married,Close,49200,0,Medium,12,1078
Middle,Male,Own,Single,Far,48100,2,Medium,18,961
Young,Male,Own,Single,Far,61300,2,High,24,1241
Young,Female,Own,Married,Close,72600,1,NA,18,1999
Old,Male,Rent,Single,Far,19500,0,NA,24,571
Middle,Female,Rent,Single,Close,17200,1,NA,12,329
Middle,Male,Rent,Single,Far,51100,0,High,24,1984
Middle,Male,Own,Single,Close,76800,1,Medium,18,1061
Old,Male,Own,Single,Far,60200,0,High,12,1955
Young,Male,Rent,Single,Close,59100,2,Low,18,580
Old,Female,Own,Single,Close,32500,0,Medium,24,883
Middle,Female,Rent,Single,Far,49500,2,Medium,12,1195
Middle,Male,Own,Married,Close,109600,1,High,12,2318
Middle,Female,Rent,Married,Close,47300,0,NA,6,640
Old,Male,Rent,Married,Close,93000,1,High,24,2644
Middle,Female,Own,Single,Far,32000,1,NA,24,1320
Middle,Female,Own,Single,Close,44700,1,Medium,6,502
Middle,Female,Own,Married,Close,69400,0,High,18,2419
Old,Male,Own,Married,Close,64300,2,Medium,6,661
Young,Male,Own,Single,Far,75400,0,High,24,2723
Middle,Male,Own,Married,Close,96100,0,High,6,1588
Young,Female,Own,Married,Close,118000,3,Low,12,581
Young,Male,Rent,Married,Close,69700,1,Medium,12,1432
Middle,Male,Own,Single,Close,59300,0,Medium,12,929
Young,Female,Rent,Married,Close,88600,3,Low,6,212
Middle,Male,Own,Married,Close,102600,0,High,18,2546
Young,Male,Rent,Single,Close,43700,0,NA,18,1344
Old,Female,Own,Married,Close,22400,0,NA,24,947
Young,Male,Rent,Married,Far,70500,1,NA,24,2145
Middle,Male,Own,Married,Close,54200,1,Medium,6,757
Middle,Female,Own,Single,Far,25300,1,NA,6,451
Young,Male,Own,Married,Close,116100,1,High,24,2975
Young,Female,Rent,Single,Close,15900,0,NA,18,406
Middle,Female,Own,Single,Close,46600,3,Low,6,158
Old,Male,Own,Single,Close,23200,0,NA,24,534
Middle,Male,Rent,Single,Close,18200,0,Low,12,401
Middle,Female,Own,Married,Close,82700,1,High,18,1753
Middle,Female,Rent,Single,Close,17000,0,Low,18,659
Old,Male,Own,Married,Close,83000,2,Medium,6,726
Old,Female,Own,Married,Close,42400,1,NA,18,1166
Middle,Male,Own,Single,Close,40200,2,NA,18,1197
Old,Female,Rent,Single,Far,17300,0,Low,6,411
Young,Female,Own,Married,Close,109800,1,High,24,2258
Old,Female,Own,Single,Far,64400,3,Medium,24,1913
Young,Female,Rent,Single,Far,27600,1,Medium,24,893
Old,Female,Rent,Single,Close,25100,1,NA,6,421
Middle,Female,Own,Single,Close,46300,3,NA,6,1138
Young,Female,Own,Married,Far,74900,0,NA,12,1804
Middle,Male,Own,Single,Close,67900,0,High,18,1418
Middle,Male,Rent,Married,Close,88500,2,Medium,24,1104
Middle,Male,Own,Married,Close,99200,3,NA,12,2796
Middle,Female,Own,Married,Close,62800,0,High,18,1403
Middle,Male,Own,Married,Far,76900,2,High,24,3230
Middle,Male,Own,Married,Close,84100,3,NA,6,1352
Middle,Female,Own,Married,Close,77600,0,High,18,2004
Middle,Female,Rent,Single,Close,19100,1,Low,18,403
Middle,Female,Own,Married,Far,128700,0,High,24,3995
Old,Female,Rent,Single,Far,14400,1,Low,6,390
Young,Male,Rent,Married,Close,49600,0,Medium,6,770
Middle,Female,Rent,Single,Close,47000,0,NA,6,963
Middle,Female,Rent,Married,Close,36600,0,Medium,6,833
Middle,Female,Own,Single,Close,65800,1,Medium,12,869
Middle,Male,Rent,Married,Far,52800,2,Medium,12,926
Middle,Male,Own,Married,Close,96500,0,High,24,3780
Old,Female,Rent,Married,Close,63500,1,Medium,18,1023
Middle,Male,Rent,Single,Close,60400,1,Medium,6,791
Middle,Male,Own,Married,Close,102700,3,NA,12,1473
Young,Male,Own,Married,Close,100100,2,NA,6,1597
Young,Male,Rent,Single,Close,54400,0,Medium,6,1150
Young,Male,Rent,Married,Close,105600,3,Low,6,304
Old,Female,Own,Married,Far,57900,0,High,12,1693
Middle,Male,Own,Single,Close,31500,3,Low,18,269
Young,Female,Rent,Married,Far,60100,1,High,18,1430
Middle,Male,Rent,Married,Close,87400,2,NA,18,2729
Middle,Male,Own,Married,Close,117900,0,High,6,1760
Middle,Male,Own,Single,Close,48800,1,Medium,24,1271
Middle,Female,Own,Married,Close,67900,3,Low,12,356
Middle,Male,Rent,Married,Far,66200,0,NA,6,1024
Old,Male,Rent,Married,Close,88000,2,Medium,6,524
Young,Male,Rent,Married,Close,94200,1,High,18,1211
Middle,Female,Rent,Single,Close,29200,3,NA,6,636
Middle,Male,Rent,Single,Far,15300,0,Low,24,645
Old,Male,Rent,Single,Far,17500,0,Low,18,472
Middle,Male,Own,Married,Close,168800,0,High,6,1512
Middle,Male,Rent,Single,Far,40200,0,High,18,1634
Middle,Male,Rent,Single,Close,28400,3,Low,18,182
Young,Male,Rent,Married,Far,72200,3,Medium,18,1042
Old,Female,Own,Single,Far,55200,0,High,18,1714
Young,Female,Rent,Single,Close,44600,0,Medium,18,966
Middle,Male,Own,Single,Close,58400,0,Medium,12,829
Old,Female,Own,Single,Close,67800,1,Medium,6,680
Old,Female,Own,Single,Close,25500,0,Low,18,636
Young,Female,Rent,Single,Far,20000,3,Low,6,182
Middle,Male,Rent,Single,Far,52600,1,NA,18,1773
Middle,Male,Rent,Married,Far,97600,1,NA,12,2902
Old,Male,Own,Married,Close,23400,0,Low,6,348
Middle,Female,Own,Married,Close,102500,3,Low,12,548
Middle,Female,Own,Married,Far,52300,1,High,18,2034
Old,Male,Rent,Single,Far,65400,0,High,12,2296
Middle,Male,Rent,Single,Close,19600,0,Low,12,395
Young,Male,Own,Married,Far,37000,0,Medium,12,850
Middle,Female,Rent,Single,Far,13200,0,NA,18,512
Old,Male,Rent,Single,Close,63800,1,Medium,24,1622
Middle,Female,Rent,Single,Far,22600,0,NA,12,865
Young,Female,Own,Single,Close,37300,0,Medium,6,673
Middle,Male,Rent,Single,Far,14900,1,NA,12,422
Middle,Female,Own,Single,Close,36700,1,NA,6,529
Young,Male,Own,Single,Close,63200,0,High,24,1932
Old,Male,Own,Married,Close,77300,0,High,18,1853
Middle,Male,Rent,Single,Close,43100,1,NA,12,1224
Middle,Female,Rent,Single,Far,44800,1,Medium,6,666
Middle,Female,Rent,Married,Close,70900,0,High,24,1685
Young,Female,Rent,Single,Far,38200,0,Medium,24,1476
Old,Female,Rent,Single,Far,18400,1,Low,6,319
Middle,Female,Rent,Single,Close,40700,3,Low,18,232
Middle,Male,Own,Single,Close,71300,0,High,18,1543
Young,Female,Rent,Single,Close,36400,2,Low,18,506
Middle,Male,Rent,Single,Close,15400,0,Low,6,172
Middle,Male,Own,Single,Far,39100,1,Medium,12,1001
Middle,Male,Rent,Single,Close,43800,0,Medium,12,606
Middle,Male,Rent,Single,Far,25300,0,Medium,12,591
Middle,Male,Rent,Married,Close,71800,0,High,12,1389
Old,Male,Own,Single,Close,73200,0,High,24,2177
Middle,Male,Own,Married,Far,79000,1,High,18,2279
Middle,Female,Rent,Married,Close,75200,1,NA,24,2702
Young,Female,Rent,Single,Close,25300,3,NA,6,510
Old,Female,Own,Married,Close,43600,0,Medium,12,1047
Middle,Male,Own,Married,Close,83600,2,Medium,6,538
Old,Female,Own,Single,Far,56200,0,High,18,1546
Old,Male,Rent,Married,Close,45500,0,Medium,6,754
Middle,Male,Own,Married,Close,99300,1,High,12,1504
Middle,Male,Own,Married,Far,108000,3,High,24,1849
Middle,Female,Own,Married,Far,84900,1,High,24,3072
Old,Male,Own,Married,Far,93000,3,High,6,1046
Middle,Female,Own,Married,Close,82000,0,High,18,1800
